Feature,Variance
capacity_bytes,-2.449499238723946e+26
failure,3.406131141989666e-05
smart_5_normalized,8.41712211113883
smart_5_raw,1631302.1775274642
smart_9_normalized,1222.1793533731811
smart_9_raw,358214911.92838097
smart_90_normalized,0.0
smart_90_raw,1.2163733781067738e+24
smart_187_normalized,65.35479194009508
smart_187_raw,256123.11948903216
smart_188_normalized,0.13158248451473742
smart_188_raw,6.098608128021934e+20
smart_197_normalized,6.581684767605926
smart_197_raw,523216.2571183074
smart_198_normalized,5.793384549612411
smart_198_raw,508311.47622299404
