Feature,Standard_Deviation
capacity_bytes,
failure,0.005836206937720479
smart_5_normalized,2.9012276903302214
smart_5_raw,1277.2244037472287
smart_9_normalized,34.95968182597177
smart_9_raw,18926.566300530612
smart_90_normalized,0.0
smart_90_raw,1102893185266.2676
smart_187_normalized,8.08423106671841
smart_187_raw,506.0860791298573
smart_188_normalized,0.3627430006419661
smart_188_raw,24695360147.24615
smart_197_normalized,2.565479442054823
smart_197_raw,723.3368904724184
smart_198_normalized,2.406945065765401
smart_198_raw,712.9596596042402
