Feature,Mean,Median,Std_Dev,Skewness,Kurtosis
capacity_bytes,15650875884635.46,16000900661248.0,,-0.2708831588185615,0.9915207839254592
failure,3.406247057102727e-05,0.0,0.005836206937720479,408.2458409586068,166663.33331333325
smart_5_normalized,100.00203683627895,100.0,2.9012276903302214,36.91185266309327,2465.8493077917
smart_5_raw,53.94698437377834,0.0,1277.2244037472287,42.790390615881044,2104.8480407684924
smart_9_normalized,63.15041414684327,76.0,34.95968182597177,-0.5712039868632898,-1.1927443547788403
smart_9_raw,31146.532549026335,28002.0,18926.566300530612,0.3900055674220352,-0.48712402091807716
smart_90_normalized,100.0,100.0,0.0,0.0,0.0
smart_90_raw,512500399820.241,519691042816.0,1102893185266.2676,-2.1352551974695353,7.5232091914738835
smart_187_normalized,99.00501345257936,100.0,8.08423106671841,-10.792845007280219,123.22862914800866
smart_187_raw,7.273350627280569,0.0,506.0860791298573,128.95116225802525,17390.09001208872
smart_188_normalized,99.99845019864215,100.0,0.3627430006419661,-335.03317941334615,112787.57507772304
smart_188_raw,1300677513.0654964,0.0,24695360147.24615,49.149063843440224,3358.147135309085
smart_197_normalized,100.04828178523293,100.0,2.565479442054823,56.0184493758149,3487.6815839594005
smart_197_raw,4.715522372425827,0.0,723.3368904724184,576.2970496832875,365393.647522878
smart_198_normalized,100.00498739326761,100.0,2.406945065765401,24.040222086857455,3542.4469202892415
smart_198_raw,3.430095417359392,0.0,712.9596596042402,591.3096432666163,380961.3101268962
