Feature,Mean,Std_Dev,Variance,Coefficient_of_Variation
smart_198_raw,3.430095417359392,712.9596596042402,508311.47622299404,207.8541768826657
failure,3.406247057102727e-05,0.005836206937720479,3.406131141989666e-05,171.33833335872646
smart_197_raw,4.715522372425827,723.3368904724184,523216.2571183074,153.3948592211448
smart_187_raw,7.273350627280569,506.0860791298573,256123.11948903216,69.5808720167637
smart_5_raw,53.94698437377834,1277.2244037472287,1631302.1775274642,23.675547735862708
smart_188_raw,1300677513.0654964,24695360147.24615,6.098608128021934e+20,18.98653578552534
smart_90_raw,512500399820.241,1102893185266.2676,1.2163733781067738e+24,2.1519850241153105
smart_9_raw,31146.532549026335,18926.566300530612,358214911.92838097,0.6076620654558953
smart_9_normalized,63.15041414684327,34.95968182597177,1222.1793533731811,0.5535938647160767
smart_187_normalized,99.00501345257936,8.08423106671841,65.35479194009508,0.08165476459018442
smart_5_normalized,100.00203683627895,2.9012276903302214,8.41712211113883,0.029011685982756982
smart_197_normalized,100.04828178523293,2.565479442054823,6.581684767605926,0.025642413805386174
smart_198_normalized,100.00498739326761,2.406945065765401,5.793384549612411,0.024068250279359944
smart_188_normalized,99.99845019864215,0.3627430006419661,0.13158248451473742,0.0036274862252504356
smart_90_normalized,100.0,0.0,0.0,0.0
capacity_bytes,15650875884635.46,,-2.449499238723946e+26,
